id,language,BV_n_tokens,BV_char_per_tok,BV_verbal_head_per_sent,BV_verbal_root_perc,BV_avg_token_per_clause,BV_avg_links_len,BV_avg_max_depth,BV_avg_subordinate_chain_len,BV_subordinate_pre,BV_subordinate_post,BV_avg_verb_edges
pol_lfg,Polish,0.206105180492285,0.756203618656807,0.335042377658311,0.965100228199806,0.392709623494292,0.512897188626915,0.306946356920552,0.192667847702964,0.028223198139662,0.259717174166382,0.568581259713311
pol_sz,Polish,0.275695394910715,0.788894200172935,0.356568975051006,0.898752115742935,0.462524212363107,0.559165701031398,0.405468693730211,0.253158405895328,0.03741467281873,0.325890804615815,0.582323694721829
por,Portuguese,0.660161068703982,0.641323198409562,0.552613491951735,0.752322889284265,0.7539144855704,0.748856211889639,0.651139703312672,0.621409687442532,0.172827190371241,0.644143063631302,0.616614293064633
ron_nonstandard,Romanian,0.525758323433939,0.609373335654489,0.82365341118309,0.876202764379583,0.446060678623705,0.766157464155383,0.546206715493392,0.744572035654489,0.200951493044224,0.729534011746203,0.705425749579984
ron_rrt,Romanian,0.622686324957697,0.709216659202223,0.650862757392522,0.886907366925639,0.729067738055545,0.744515257709649,0.679208800971094,0.730101008900968,0.178592373968273,0.790137175437691,0.769247332389526
rus_gsd,Russian,0.536272770763191,0.831494498399266,0.446044857614884,0.781428193276832,0.724625039527352,0.725943369405077,0.601310611533451,0.431658177890125,0.092684389181405,0.520522086652275,0.576011081840981
rus_syntagrus,Russian,0.485144298224413,0.815242882043546,0.534925886169044,0.741882713374591,0.584272942084425,0.717083229482974,0.57750710989342,0.553451774459486,0.150159478789263,0.618245778312465,0.575289551202786
slk,Slovak,0.271411157283133,0.729680726225153,0.35479702052537,0.804033874888628,0.409659076894182,0.582161532383541,0.373391980211978,0.296641431835984,0.116851568715101,0.304741200447133,0.542679765755188
slv,Slovenian,0.47722909229926,0.702311996026801,0.485169014084917,0.806950521260795,0.627754688350481,0.739697223137311,0.544579986111901,0.576993547815507,0.102503660882828,0.672999400669102,0.802514779807271
spa_ancora,Spanish,0.843638065196419,0.665204451017974,0.67918552036156,0.823483148863493,0.882749439877078,0.800622177231509,0.742124379897645,0.741325418036422,0.185886654445131,0.763578747980022,0.763249411944055
spa_gsd,Spanish,0.731494493660305,0.652680171507712,0.685032319692269,0.768222150154278,0.842189016086103,0.758150461237977,0.688966675597503,0.600179467404951,0.107026706042959,0.709258536498013,0.599371829774703
srp,Serbian,0.605123038110373,0.75673400671339,0.511002276832122,0.752148526411947,0.785695178692209,0.758145874459879,0.654806151747582,0.651426527069825,0.104391407887186,0.732256659047561,0.751063022898896
swe_lines,Swedish,0.474605237916171,0.681507815778463,0.589330461295146,0.808557035416081,0.529466111392981,0.712335237515569,0.51869455622486,0.619605724240604,0.110670315038743,0.699146620666702,0.756866657737282
swe_talbanken,Swedish,0.4360606277543,0.776406503724545,0.442575132174318,0.764493139590153,0.591015748405752,0.701011488902869,0.499878473328584,0.526029635601684,0.126127735016237,0.574894150367858,0.726181721925515
tur,Turkish,0.292853638408128,0.851081593358656,0.564529847659491,0.734599833447081,0.333184840512887,0.669121614400903,0.417048127315387,0.576854865374843,0.608053830121062,0.162359535960965,0.403889566918843
uig,Uyghur,0.31597773087484,0.879807492463934,0.628826780126025,0.86638747134539,0.353316535007588,0.734927434992856,0.428183972321388,0.736439243403737,0.825445282823284,0.074346278063816,0.50655791816547
ukr,Ukrainian,0.463720439066448,0.742050739330194,0.483626061619282,0.753405120607613,0.586037171178506,0.699309458316467,0.52298120076198,0.486560626652902,0.096157322268051,0.567589987104413,0.588355218852016
urd,Urdu,0.730498599668777,0.505576744660998,0.618779342722354,0.916879472253986,0.865544421962842,0.964622527288786,0.658250794927427,0.68240686635465,0.352397125850845,0.546573954174161,1
vie,Vietnamese,0.395832927267308,0.601257491621511,0.765530516433464,0.802485525091237,0.377931981803428,0.644940950221131,0.513108828869073,0.875193731484533,0.252394969346735,0.808775548590139,0.497731812571816
