id	language	part_lemma	part_pos	part_synt	dep_pos	dep_tag	dep_synt	head_pos	head_tag	class
spa_ancora	Spanish					sis.Poss=Yes&sis.PronType=Prs		on.NOUN;on.PROPN		dep_marked
spa_gsd	Spanish	on.de;on.del		on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
spa_gsd	Spanish					sis.Poss=Yes&sis.PronType=Prs		on.NOUN;on.PROPN		dep_marked
srp	Serbian				on.PRON	sis.Poss=Yes	on.det	on.NOUN;on.PROPN		dep_marked
srp	Serbian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
tur	Turkish				on.PRON	sis.!Reflex=Yes	on.nmod:poss	on.NOUN;on.PROPN	sis.[psor]	double_marked
tur	Turkish				on.PRON	sis.!Reflex=Yes	on.nmod:poss	on.NOUN;on.PROPN	sis.![psor]	dep_marked
tur	Turkish				on.NOUN;on.PROPN	sis.Case=Gen&sis.Person	on.nmod:poss	on.NOUN;on.PROPN	sis.[psor]	double_marked
tur	Turkish				on.NOUN;on.PROPN	sis.Case=Gen&sis.Person	on.nmod:poss	on.NOUN;on.PROPN	sis.![psor]	dep_marked
tur	Turkish				on.NOUN;on.PROPN	sis.Case=Nom&sis.Person	on.nmod:poss	on.NOUN;on.PROPN	sis.[psor]	head_marked
tur	Turkish				on.NOUN;on.PROPN	sis.Case=Nom&sis.Person	on.nmod:poss	on.NOUN;on.PROPN	sis.![psor]	zero_marked
uig	Uyghur				on.PRON	sis.Case=Gen	on.nmod:poss	on.NOUN;on.PROPN		dep_marked
uig	Uyghur				on.PRON	sis.Case=Nom	on.nmod:poss	on.NOUN;on.PROPN		zero_marked
uig	Uyghur				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod:poss	on.NOUN;on.PROPN	sis.[psor]	clemma.head;double
uig	Uyghur				on.NOUN;on.PROPN	sis.Case=Nom	on.nmod:poss	on.NOUN;on.PROPN	sis.[psor]	head_marked
uig	Uyghur						nmod:poss	on.NOUN;on.PROPN	sis.[psor]	head_exist
uig	Uyghur				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod:poss	on.NOUN;on.PROPN	sis.![psor]	clemma.zero;dep
uig	Uyghur				on.NOUN;on.PROPN	sis.Case=Nom	on.nmod:poss	on.NOUN;on.PROPN	sis.![psor]	zero_marked
ukr	Ukrainian				on.DET	sis.Poss=Yes&sis.PronType=Prs;sis.Poss=Yes&sis.PronType=Prs&sis.Person=	on.det	on.NOUN;on.PROPN		dep_marked
ukr	Ukrainian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
urd	Urdu				on.PRON	sis.Poss=Yes&sis.PronType=Prs	on.nmod	on.NOUN;on.PROPN		dep_marked
urd	Urdu	on.کا;on.کے;on.کی	on.ADP		on.PRON	sis.PronType=Prs	on.nmod	on.NOUN;on.PROPN		dep_marked
urd	Urdu	on.کا;on.کے;on.کی	on.ADP	on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
